Email,Account_id,balance,Account_type,created_at,password
user1@example.com,4,1500,saving,2025-01-17 09:15:22,abcd
user2@example.com,5,3000,checking,2025-01-18 14:30:45,5678
user3@example.com,6,200,saving,2025-01-19 08:45:33,efgh
user4@example.com,7,7500,checking,2025-01-20 12:00:01,ijkl
user5@example.com,8,1000,saving,2025-01-21 18:20:10,mnop
user6@example.com,9,4500,checking,2025-01-22 22:35:55,qrst
user7@example.com,10,600,saving,2025-01-23 07:10:44,uvwx
user8@example.com,11,8000,checking,2025-01-24 16:25:30,yz12
user9@example.com,12,1200,saving,2025-01-25 10:40:20,3456
user10@example.com,13,2500,checking,2025-01-26 19:55:11,7890
user11@example.com,14,300,saving,2025-01-27 05:05:05,abcd
user12@example.com,15,9000,checking,2025-01-28 13:15:25,efgh
user13@example.com,16,1800,saving,2025-01-29 21:30:40,ijkl
user14@example.com,17,4000,checking,2025-01-30 11:45:50,mnop
user15@example.com,18,700,saving,2025-01-31 17:00:00,qrst
user16@example.com,19,6000,checking,2025-02-01 08:10:15,uvwx
user17@example.com,20,950,saving,2025-02-02 14:20:30,yz12
user18@example.com,21,3500,checking,2025-02-03 20:35:45,3456
user19@example.com,22,1100,saving,2025-02-04 06:50:55,7890
user20@example.com,23,500,checking,2025-02-05 12:05:10,abcd
user21@example.com,24,8500,saving,2025-02-06 18:15:25,efgh
user22@example.com,25,2200,checking,2025-02-07 23:25:40,ijkl
user23@example.com,26,1300,saving,2025-02-08 09:35:55,mnop
user24@example.com,27,7000,checking,2025-02-09 15:45:10,qrst
user25@example.com,28,400,saving,2025-02-10 21:55:25,uvwx
user26@example.com,29,5500,checking,2025-02-11 04:05:40,yz12
user27@example.com,30,1700,saving,2025-02-12 10:15:55,3456
user28@example.com,31,3000,checking,2025-02-13 16:25:10,7890
user29@example.com,32,900,saving,2025-02-14 22:35:25,abcd
user30@example.com,33,6500,checking,2025-02-15 05:45:40,efgh
user31@example.com,34,1400,saving,2025-02-16 11:55:55,ijkl
user32@example.com,35,2000,checking,2025-02-17 18:05:10,mnop
user33@example.com,36,800,saving,2025-02-18 00:15:25,qrst
user34@example.com,37,9500,checking,2025-02-19 06:25:40,uvwx
user35@example.com,38,1600,saving,2025-02-20 12:35:55,yz12
user36@example.com,39,4500,checking,2025-02-21 18:45:10,3456
user37@example.com,40,1000,saving,2025-02-22 01:55:25,7890
user38@example.com,41,5000,checking,2025-02-23 08:05:40,abcd
user39@example.com,42,750,saving,2025-02-24 14:15:55,efgh
user40@example.com,43,8500,checking,2025-02-25 20:25:10,ijkl
user41@example.com,44,1900,saving,2025-02-26 02:35:25,mnop
user42@example.com,45,6000,checking,2025-02-27 08:45:40,qrst
user43@example.com,46,1200,saving,2025-02-28 14:55:55,uvwx
user44@example.com,47,3500,checking,2025-03-01 21:05:10,yz12
user45@example.com,48,900,saving,2025-03-02 03:15:25,3456
user46@example.com,49,7000,checking,2025-03-03 09:25:40,7890
user47@example.com,50,1300,saving,2025-03-04 15:35:55,abcd
